interaction_id,timestamp,department,user_role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact
INT-100819,2025-03-06 22:07:31.853768,HR,Analyst,What is customer churn rate?,Sales,Conversion Rate,Trend Analysis,0.73,1308,3.0,High
INT-100820,2025-10-22 05:39:31.853770,Sales,Executive,Show monthly revenue trend,Finance,Churn Rate,Descriptive,0.86,1770,4.0,Medium
INT-100821,2026-01-14 01:00:31.853772,HR,Analyst,Show monthly revenue trend,Sales,ROI,Descriptive,0.96,689,2.0,Low
INT-100822,2025-08-05 07:11:31.853773,Marketing,Manager,Compare sales performance by region,Marketing,ROI,Descriptive,0.7,204,,Low
INT-100823,2025-12-17 06:03:31.853775,Finance,Manager,Compare sales performance by region,Customer,Revenue,Trend Analysis,0.93,275,3.0,Low
INT-100824,2026-01-13 07:38:31.853777,Sales,Executive,Show monthly revenue trend,Revenue,Conversion Rate,Trend Analysis,0.96,1476,,High
INT-100825,2025-09-14 14:30:31.853779,Operations,Intern,Forecast next quarter revenue,Marketing,ROI,Descriptive,0.95,2254,3.0,Medium
INT-100826,2025-04-08 22:25:31.853781,Marketing,Analyst,What is customer churn rate?,Finance,Churn Rate,Descriptive,0.97,672,,Low
INT-100827,2025-09-12 19:47:31.853783,HR,Analyst,Compare sales performance by region,Marketing,Profit Margin,Trend Analysis,0.93,1581,3.0,High
INT-100828,2026-01-22 17:04:31.853784,Marketing,Manager,What is customer churn rate?,Finance,Revenue,Trend Analysis,0.83,1037,5.0,Low
INT-100829,2025-12-03 19:02:31.853786,Sales,Manager,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.76,802,,Medium
INT-100830,2025-03-30 13:58:31.853788,HR,Intern,Show monthly revenue trend,Finance,ROI,Descriptive,0.79,1386,4.0,High
INT-100831,2025-12-18 11:37:31.853790,Finance,Intern,Forecast next quarter revenue,Sales,Conversion Rate,Trend Analysis,0.94,1681,4.0,Medium
INT-100832,2025-09-13 16:00:31.853792,Marketing,Intern,Which campaign had highest ROI?,Customer,Revenue,Descriptive,0.72,1964,2.0,Low
INT-100833,2025-10-16 11:03:31.853794,Sales,Executive,Which campaign had highest ROI?,Marketing,ROI,Descriptive,0.66,1898,3.0,Medium
INT-100834,2025-08-06 05:16:31.853795,Operations,Manager,Which campaign had highest ROI?,Customer,Revenue,Descriptive,0.65,431,5.0,High
INT-100835,2026-01-20 01:18:31.853797,HR,Executive,Show monthly revenue trend,Revenue,ROI,Predictive,0.92,527,2.0,Medium
INT-100836,2025-03-10 16:37:31.853799,Marketing,Manager,Compare sales performance by region,Marketing,Profit Margin,Trend Analysis,0.9,2485,5.0,Low
INT-100837,2025-04-19 10:11:31.853801,Marketing,Manager,Show monthly revenue trend,Customer,Conversion Rate,Trend Analysis,0.79,1343,4.0,Low
INT-100838,2025-06-27 07:49:31.853803,Finance,Analyst,Compare sales performance by region,Customer,Profit Margin,Descriptive,0.71,1149,2.0,High
INT-100839,2025-10-17 16:05:31.853804,Finance,Manager,Which campaign had highest ROI?,Revenue,ROI,Trend Analysis,0.86,2086,3.0,Medium
INT-100840,2025-09-23 12:53:31.853806,Operations,Manager,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.61,2497,3.0,High
INT-100841,2025-08-07 00:14:31.853808,Operations,Executive,Forecast next quarter revenue,Marketing,Profit Margin,Descriptive,0.82,1559,2.0,Medium
INT-100842,2025-06-19 13:42:31.853810,Sales,Manager,Compare sales performance by region,Marketing,Churn Rate,Predictive,0.76,1507,,Medium
INT-100843,2025-06-09 17:33:31.853811,Sales,Executive,Which campaign had highest ROI?,Revenue,ROI,Predictive,0.98,397,4.0,nan
INT-100844,2025-06-21 17:58:31.853813,Operations,Intern,What is customer churn rate?,Finance,Conversion Rate,Trend Analysis,0.8,615,3.0,Low
INT-100845,2025-10-02 09:35:31.853815,Operations,Manager,Forecast next quarter revenue,Marketing,Churn Rate,Trend Analysis,0.82,1618,3.0,Low
INT-100846,2025-05-26 16:03:31.853817,HR,Manager,Show monthly revenue trend,Marketing,ROI,Predictive,0.88,1137,4.0,Medium
INT-100847,2025-07-26 10:36:31.853819,Finance,Executive,Forecast next quarter revenue,Marketing,Churn Rate,Trend Analysis,0.79,1443,3.0,Low
INT-100848,2025-04-23 11:50:31.853821,Sales,Intern,What is customer churn rate?,Finance,Profit Margin,Predictive,0.69,1439,2.0,Medium
INT-100849,2025-06-21 05:11:31.853822,Finance,Analyst,Compare sales performance by region,Revenue,ROI,Predictive,0.81,1538,3.0,nan
INT-100850,2025-09-01 17:24:31.853824,Finance,Intern,Show monthly revenue trend,Marketing,Profit Margin,Descriptive,0.97,1891,5.0,High
INT-100851,2025-06-18 03:11:31.853826,Operations,Executive,Show monthly revenue trend,Customer,Revenue,Predictive,0.76,415,1.0,Medium
INT-100852,2025-05-06 07:20:31.853828,HR,Intern,Compare sales performance by region,Finance,ROI,Predictive,0.87,1849,3.0,High
INT-100853,2025-03-29 15:48:31.853831,Marketing,Executive,Forecast next quarter revenue,Sales,Churn Rate,Trend Analysis,0.98,1384,,Low
INT-100854,2025-07-09 10:50:31.853835,HR,Executive,Which campaign had highest ROI?,Revenue,Revenue,Descriptive,0.92,809,1.0,Medium
INT-100855,2025-05-01 16:53:31.853838,HR,Analyst,Forecast next quarter revenue,Customer,Profit Margin,Trend Analysis,0.86,1117,5.0,Medium
INT-100856,2026-01-25 11:42:31.853842,Finance,Manager,What is customer churn rate?,Marketing,Profit Margin,Descriptive,0.89,356,3.0,Medium
INT-100857,2025-12-18 18:41:31.853845,HR,Executive,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.97,361,2.0,Low
INT-100858,2025-04-12 13:56:31.853848,Sales,Executive,Forecast next quarter revenue,Revenue,Revenue,Predictive,0.97,241,1.0,High
INT-100859,2025-04-15 09:04:31.853851,Finance,Analyst,Compare sales performance by region,Finance,Conversion Rate,Descriptive,0.98,1553,1.0,High
INT-100860,2025-04-06 13:17:31.853854,Sales,Executive,What is customer churn rate?,Sales,Churn Rate,Descriptive,0.84,1786,2.0,Medium
INT-100861,2025-03-26 11:45:31.853861,Marketing,Manager,What is customer churn rate?,Sales,Profit Margin,Descriptive,0.75,1652,1.0,Low
INT-100862,2025-05-04 17:54:31.853863,Finance,Analyst,What is customer churn rate?,Customer,ROI,Descriptive,0.65,319,3.0,Medium
INT-100863,2025-09-20 15:30:31.853865,Marketing,Manager,Which campaign had highest ROI?,Revenue,Revenue,Trend Analysis,0.75,1298,1.0,nan
INT-100864,2025-07-18 00:37:31.853867,Finance,Manager,Show monthly revenue trend,Customer,Conversion Rate,Trend Analysis,0.97,2237,4.0,Medium
INT-100865,2025-06-12 01:09:31.853868,Operations,Analyst,Which campaign had highest ROI?,Customer,ROI,Descriptive,0.95,322,5.0,Medium
INT-100866,2025-12-08 07:29:31.853870,HR,Executive,Forecast next quarter revenue,Marketing,Revenue,Descriptive,0.8,988,5.0,nan
INT-100867,2025-10-10 08:36:31.853872,Operations,Manager,Show monthly revenue trend,Finance,Churn Rate,Descriptive,0.81,456,4.0,Medium
INT-100868,2026-02-07 14:11:31.853874,Marketing,Manager,Forecast next quarter revenue,Sales,Churn Rate,Trend Analysis,0.72,2060,,Medium
INT-100869,2025-06-01 00:04:31.853875,HR,Manager,Show monthly revenue trend,Revenue,Revenue,Descriptive,0.78,1492,1.0,Medium
INT-100870,2025-06-21 07:20:31.853877,Finance,Manager,Which campaign had highest ROI?,Finance,Conversion Rate,Descriptive,0.88,1372,2.0,Medium
INT-100871,2025-09-13 04:35:31.853879,HR,Analyst,What is customer churn rate?,Finance,Revenue,Descriptive,0.76,1371,3.0,Medium
INT-100872,2025-09-14 05:21:31.853881,Sales,Analyst,Compare sales performance by region,Revenue,ROI,Trend Analysis,0.67,879,5.0,Medium
INT-100873,2025-10-21 08:07:31.853883,HR,Intern,What is customer churn rate?,Finance,ROI,Predictive,0.81,1401,5.0,Medium
INT-100874,2025-07-01 11:41:31.853885,Sales,Intern,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.69,807,4.0,Low
INT-100875,2026-01-02 18:07:31.853887,HR,Manager,Show monthly revenue trend,Finance,Revenue,Trend Analysis,0.98,530,3.0,Low
INT-100876,2025-09-20 02:00:31.853888,Sales,Executive,What is customer churn rate?,Marketing,Churn Rate,Predictive,0.75,2303,4.0,Medium
INT-100877,2025-06-06 19:53:31.853890,Marketing,Manager,Which campaign had highest ROI?,Sales,Conversion Rate,Descriptive,0.95,1430,2.0,Low
INT-100878,2025-08-16 14:14:31.853892,Operations,Executive,Forecast next quarter revenue,Sales,ROI,Descriptive,0.69,2352,3.0,High
INT-100879,2025-06-23 03:45:31.853894,Finance,Manager,Compare sales performance by region,Customer,Profit Margin,Trend Analysis,0.67,746,4.0,Medium
INT-100880,2025-09-14 02:47:31.853896,HR,Intern,What is customer churn rate?,Marketing,Profit Margin,Trend Analysis,0.84,992,2.0,Medium
INT-100881,2025-04-10 20:36:31.853897,Operations,Intern,Show monthly revenue trend,Sales,Revenue,Predictive,0.9,2104,1.0,Low
INT-100882,2025-07-12 17:08:31.853899,Finance,Executive,Forecast next quarter revenue,Finance,Revenue,Predictive,0.82,1578,5.0,Low
INT-100883,2025-06-22 06:08:31.853901,Finance,Manager,Which campaign had highest ROI?,Revenue,Profit Margin,Descriptive,0.69,1882,4.0,Medium
INT-100884,2025-07-01 02:44:31.853903,Sales,Executive,Compare sales performance by region,Revenue,Revenue,Trend Analysis,0.61,688,3.0,nan
INT-100885,2025-10-10 10:39:31.853908,Marketing,Intern,Show monthly revenue trend,Marketing,ROI,Predictive,0.84,2022,3.0,Medium
INT-100886,2025-08-29 13:52:31.853910,Marketing,Manager,Which campaign had highest ROI?,Customer,Conversion Rate,Predictive,0.65,1726,,High
INT-100887,2025-12-24 19:42:31.853912,Operations,Manager,Which campaign had highest ROI?,Finance,Conversion Rate,Descriptive,0.73,849,3.0,Low
INT-100888,2026-01-21 23:20:31.853914,Marketing,Executive,What is customer churn rate?,Marketing,Churn Rate,Descriptive,0.86,847,2.0,Low
INT-100889,2025-12-10 03:41:31.853915,HR,Analyst,What is customer churn rate?,Revenue,ROI,Descriptive,0.64,1585,3.0,High
INT-100890,2025-05-21 05:03:31.853917,Marketing,Executive,Show monthly revenue trend,Marketing,Revenue,Descriptive,0.65,580,4.0,Medium
INT-100891,2025-07-16 12:04:31.853919,Operations,Intern,Which campaign had highest ROI?,Finance,Revenue,Predictive,0.62,2409,1.0,Medium
INT-100892,2025-10-12 16:47:31.853921,Marketing,Intern,What is customer churn rate?,Sales,Churn Rate,Trend Analysis,0.99,2266,3.0,Low
INT-100893,2025-10-15 08:26:31.853923,HR,Intern,Compare sales performance by region,Finance,Churn Rate,Trend Analysis,0.75,2063,3.0,Low
INT-100894,2025-12-07 14:10:31.853924,Sales,Intern,Compare sales performance by region,Sales,Revenue,Descriptive,0.95,2490,3.0,Medium
INT-100895,2025-11-09 19:57:31.853926,Operations,Intern,Which campaign had highest ROI?,Sales,Revenue,Descriptive,0.71,328,3.0,High
INT-100896,2025-07-23 15:31:31.853928,Sales,Analyst,What is customer churn rate?,Sales,ROI,Predictive,0.89,1399,4.0,Low
INT-100897,2026-01-31 23:05:31.853930,Sales,Manager,Show monthly revenue trend,Marketing,Churn Rate,Descriptive,0.69,608,,nan
INT-100898,2025-06-22 10:37:31.853932,Sales,Executive,Show monthly revenue trend,Revenue,ROI,Trend Analysis,0.79,991,,Low
INT-100899,2025-04-25 19:44:31.853933,Finance,Executive,Show monthly revenue trend,Marketing,Revenue,Descriptive,0.92,1307,4.0,Medium
INT-100900,2026-01-06 14:30:31.853935,Finance,Intern,Compare sales performance by region,Revenue,Profit Margin,Trend Analysis,0.92,421,4.0,Low
INT-100901,2025-03-25 14:41:31.853937,Sales,Executive,What is customer churn rate?,Finance,Profit Margin,Descriptive,0.91,1639,5.0,Medium
INT-100902,2025-10-21 04:17:31.853939,Operations,Intern,What is customer churn rate?,Customer,Revenue,Descriptive,0.92,817,5.0,Low
INT-100903,2025-12-04 05:40:31.853941,HR,Analyst,Compare sales performance by region,Finance,Churn Rate,Trend Analysis,0.68,1548,5.0,Low
INT-100904,2026-01-19 00:10:31.853943,HR,Analyst,Show monthly revenue trend,Marketing,Profit Margin,Predictive,0.79,2413,2.0,nan
INT-100905,2025-03-24 07:16:31.853945,Marketing,Manager,Show monthly revenue trend,Marketing,Churn Rate,Predictive,0.79,1236,1.0,High
INT-100906,2025-06-26 16:45:31.853947,Operations,Analyst,Which campaign had highest ROI?,Revenue,Profit Margin,Descriptive,0.95,424,,High
INT-100907,2025-06-10 04:18:31.853948,Finance,Analyst,Forecast next quarter revenue,Marketing,Churn Rate,Descriptive,0.72,2441,,Low
INT-100908,2025-04-02 17:26:31.853950,Sales,Manager,What is customer churn rate?,Sales,Profit Margin,Trend Analysis,0.96,256,4.0,nan
INT-100909,2025-08-07 01:49:31.853953,Marketing,Executive,What is customer churn rate?,Marketing,Churn Rate,Trend Analysis,0.78,2460,,Medium
INT-100910,2026-02-02 20:34:31.853956,HR,Intern,What is customer churn rate?,Revenue,ROI,Descriptive,0.86,1603,5.0,High
INT-100911,2025-11-10 01:53:31.853959,Finance,Intern,Forecast next quarter revenue,Revenue,Churn Rate,Trend Analysis,0.7,316,4.0,Low
INT-100912,2025-10-09 20:41:31.853962,Finance,Executive,Which campaign had highest ROI?,Sales,ROI,Predictive,0.76,609,3.0,Low
INT-100913,2025-11-20 16:07:31.853965,Sales,Manager,Forecast next quarter revenue,Revenue,ROI,Predictive,0.88,2116,4.0,nan
INT-100914,2025-04-07 08:46:31.853968,HR,Executive,Show monthly revenue trend,Customer,Revenue,Trend Analysis,0.8,2183,4.0,Medium
INT-100915,2025-10-18 05:28:31.853971,Operations,Analyst,Show monthly revenue trend,Finance,ROI,Trend Analysis,0.96,2251,,High
INT-100916,2025-04-30 16:17:31.853975,Finance,Manager,What is customer churn rate?,Marketing,Conversion Rate,Trend Analysis,0.89,222,3.0,Medium
INT-100917,2026-01-31 23:01:31.853977,Sales,Manager,Compare sales performance by region,Customer,ROI,Predictive,0.82,944,5.0,Medium
INT-100918,2025-12-04 07:29:31.853981,Operations,Manager,What is customer churn rate?,Marketing,Churn Rate,Descriptive,0.95,801,5.0,High
INT-100919,2025-04-06 19:03:31.853983,HR,Intern,Compare sales performance by region,Customer,ROI,Trend Analysis,0.86,1169,1.0,Medium
INT-100920,2026-02-02 19:03:31.853985,Finance,Executive,Forecast next quarter revenue,Marketing,Churn Rate,Trend Analysis,0.85,1378,1.0,High
INT-100921,2025-08-15 09:25:31.853987,Operations,Manager,Show monthly revenue trend,Sales,Churn Rate,Trend Analysis,0.7,2042,4.0,Low
INT-100922,2026-01-14 15:04:31.853989,Operations,Manager,Compare sales performance by region,Revenue,Conversion Rate,Descriptive,0.75,2454,3.0,Low
INT-100923,2025-10-25 15:09:31.853991,Operations,Manager,Forecast next quarter revenue,Revenue,ROI,Trend Analysis,0.87,280,4.0,Low
INT-100924,2025-07-09 18:17:31.853993,Finance,Executive,Show monthly revenue trend,Sales,ROI,Trend Analysis,0.95,682,2.0,Medium
INT-100925,2026-01-31 06:07:31.853994,Finance,Intern,Compare sales performance by region,Customer,Profit Margin,Predictive,0.72,1630,3.0,High
INT-100926,2025-09-16 15:05:31.853996,Marketing,Analyst,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.68,232,2.0,Medium
INT-100927,2025-03-05 09:37:31.853998,HR,Intern,What is customer churn rate?,Customer,Revenue,Predictive,0.83,2282,3.0,Medium
INT-100928,2025-03-18 08:57:31.854000,Sales,Manager,What is customer churn rate?,Revenue,Churn Rate,Descriptive,0.63,1472,1.0,High
INT-100929,2025-09-05 01:42:31.854002,Operations,Intern,Forecast next quarter revenue,Finance,Conversion Rate,Trend Analysis,0.88,479,,Low
INT-100930,2026-01-21 12:39:31.854003,Marketing,Intern,What is customer churn rate?,Marketing,Profit Margin,Trend Analysis,0.87,2207,3.0,High
INT-100931,2025-12-19 01:56:31.854005,Sales,Analyst,Which campaign had highest ROI?,Finance,ROI,Predictive,0.74,2399,,nan
INT-100932,2025-09-03 03:53:31.854007,Marketing,Executive,Show monthly revenue trend,Customer,Revenue,Descriptive,0.95,1882,,Low
INT-100933,2025-05-24 01:21:31.854009,Finance,Executive,Forecast next quarter revenue,Sales,Conversion Rate,Descriptive,0.8,1774,,Low
INT-100934,2025-07-29 15:50:31.854011,Operations,Intern,What is customer churn rate?,Marketing,ROI,Predictive,0.85,900,3.0,Low
INT-100935,2025-06-10 10:55:31.854013,Sales,Intern,Show monthly revenue trend,Customer,ROI,Descriptive,0.68,1979,5.0,High
INT-100936,2025-09-02 08:41:31.854014,Sales,Executive,Compare sales performance by region,Marketing,Churn Rate,Descriptive,0.76,1218,2.0,Low
INT-100937,2025-08-29 08:18:31.854016,Sales,Executive,What is customer churn rate?,Finance,Churn Rate,Descriptive,0.94,1453,1.0,High
INT-100938,2025-09-12 14:01:31.854018,Sales,Analyst,Show monthly revenue trend,Revenue,Profit Margin,Descriptive,0.68,864,5.0,Medium
INT-100939,2025-10-24 06:59:31.854020,Sales,Manager,Which campaign had highest ROI?,Customer,Profit Margin,Descriptive,0.75,1511,1.0,High
INT-100940,2025-07-13 10:47:31.854022,Marketing,Intern,Compare sales performance by region,Sales,ROI,Descriptive,0.72,1618,,High
INT-100941,2025-10-28 18:58:31.854023,Operations,Executive,Which campaign had highest ROI?,Finance,ROI,Descriptive,0.66,1256,4.0,nan
INT-100942,2025-09-08 19:52:31.854025,Finance,Intern,Show monthly revenue trend,Customer,Profit Margin,Descriptive,0.71,2138,3.0,Low
INT-100943,2025-10-01 15:54:31.854027,Finance,Intern,Which campaign had highest ROI?,Sales,Profit Margin,Trend Analysis,0.69,1586,2.0,Low
INT-100944,2025-09-10 17:31:31.854029,Finance,Executive,Show monthly revenue trend,Customer,ROI,Predictive,0.96,1334,4.0,Low
INT-100945,2025-07-20 19:38:31.854031,Finance,Analyst,Show monthly revenue trend,Finance,Conversion Rate,Descriptive,0.89,1344,4.0,Medium
INT-100946,2025-10-27 19:28:31.854033,Marketing,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.72,2263,4.0,Medium
INT-100947,2025-09-25 08:05:31.854035,HR,Analyst,Show monthly revenue trend,Marketing,Conversion Rate,Descriptive,0.9,938,3.0,nan
INT-100948,2025-12-09 09:06:31.854036,Operations,Executive,What is customer churn rate?,Finance,Conversion Rate,Descriptive,0.61,1746,1.0,High
INT-100949,2025-09-30 21:18:31.854038,Sales,Manager,Show monthly revenue trend,Customer,ROI,Trend Analysis,0.81,2345,3.0,Low
INT-100950,2025-05-04 10:08:31.854040,HR,Manager,Forecast next quarter revenue,Revenue,Revenue,Predictive,0.7,2363,3.0,High
INT-100951,2026-01-14 00:53:31.854042,Finance,Intern,Show monthly revenue trend,Customer,Profit Margin,Predictive,0.64,1694,1.0,Low
INT-100952,2026-02-08 08:52:31.854044,HR,Executive,Forecast next quarter revenue,Marketing,Churn Rate,Trend Analysis,0.94,1662,1.0,Low
INT-100953,2025-05-12 05:16:31.854046,Operations,Analyst,Show monthly revenue trend,Sales,ROI,Trend Analysis,0.68,548,3.0,High
INT-100954,2025-06-22 22:17:31.854048,Sales,Intern,Show monthly revenue trend,Sales,Conversion Rate,Predictive,0.92,431,4.0,nan
INT-100955,2025-12-29 14:17:31.854050,Sales,Executive,Which campaign had highest ROI?,Sales,ROI,Descriptive,0.76,2196,4.0,Low
INT-100956,2025-11-23 21:23:31.854052,Operations,Executive,What is customer churn rate?,Revenue,Profit Margin,Descriptive,0.61,1756,2.0,High
INT-100957,2025-11-06 14:52:31.854054,Operations,Analyst,What is customer churn rate?,Marketing,Conversion Rate,Predictive,0.89,2170,4.0,High
INT-100958,2025-12-25 08:40:31.854055,Finance,Intern,Compare sales performance by region,Finance,Churn Rate,Descriptive,0.83,1856,4.0,Low
INT-100959,2025-08-17 19:14:31.854057,Sales,Executive,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.73,2142,4.0,Low
INT-100960,2026-01-31 22:02:31.854059,HR,Executive,Which campaign had highest ROI?,Marketing,Churn Rate,Trend Analysis,0.71,744,4.0,High
INT-100961,2025-11-10 02:48:31.854061,Marketing,Executive,What is customer churn rate?,Customer,Revenue,Trend Analysis,0.63,591,3.0,High
INT-100962,2025-04-13 10:22:31.854062,Marketing,Analyst,Which campaign had highest ROI?,Revenue,Conversion Rate,Predictive,0.97,1393,2.0,Medium
INT-100963,2026-01-11 21:43:31.854064,Operations,Intern,What is customer churn rate?,Marketing,Conversion Rate,Predictive,0.79,2324,3.0,Low
INT-100964,2025-03-14 10:49:31.854066,Finance,Intern,Which campaign had highest ROI?,Marketing,Revenue,Predictive,0.63,2188,3.0,Medium
INT-100965,2025-06-11 19:04:31.854068,Marketing,Intern,Show monthly revenue trend,Finance,Conversion Rate,Descriptive,0.94,496,4.0,High
INT-100966,2025-08-06 16:07:31.854070,Sales,Intern,What is customer churn rate?,Marketing,Revenue,Predictive,0.71,1286,5.0,Medium
INT-100967,2025-05-27 21:19:31.854071,Operations,Manager,What is customer churn rate?,Finance,ROI,Predictive,0.68,469,3.0,Low
INT-100968,2025-09-28 00:39:31.854073,HR,Manager,Forecast next quarter revenue,Revenue,Profit Margin,Trend Analysis,0.71,2463,4.0,High
INT-100969,2025-08-31 12:33:31.854075,Operations,Intern,Which campaign had highest ROI?,Revenue,Churn Rate,Descriptive,0.82,1298,5.0,Medium
INT-100970,2025-10-18 07:04:31.854077,HR,Analyst,Which campaign had highest ROI?,Customer,Revenue,Descriptive,0.63,1909,2.0,High
INT-100971,2025-09-06 05:31:31.854079,Operations,Manager,What is customer churn rate?,Finance,Revenue,Trend Analysis,0.79,709,,nan
INT-100972,2026-01-19 10:24:31.854080,Operations,Executive,Show monthly revenue trend,Finance,Revenue,Descriptive,0.95,1316,1.0,High
INT-100973,2025-07-23 05:57:31.854084,Operations,Manager,Show monthly revenue trend,Sales,ROI,Predictive,0.67,1276,,nan
INT-100974,2025-12-01 14:16:31.854086,HR,Executive,Show monthly revenue trend,Sales,Revenue,Descriptive,0.73,695,2.0,nan
INT-100975,2025-06-02 00:19:31.854088,HR,Intern,Which campaign had highest ROI?,Customer,Profit Margin,Trend Analysis,0.75,293,3.0,Medium
INT-100976,2025-08-19 21:28:31.854089,Operations,Manager,Forecast next quarter revenue,Revenue,Profit Margin,Descriptive,0.83,824,4.0,High
INT-100977,2026-02-04 05:55:31.854091,Marketing,Analyst,What is customer churn rate?,Sales,Churn Rate,Trend Analysis,0.96,428,,Medium
INT-100978,2025-05-02 15:03:31.854093,Finance,Manager,Compare sales performance by region,Marketing,ROI,Predictive,0.75,2497,3.0,Medium
INT-100979,2025-07-20 03:28:31.854095,Finance,Manager,Forecast next quarter revenue,Revenue,Profit Margin,Predictive,0.63,1614,5.0,Low
INT-100980,2025-10-07 12:21:31.854097,Finance,Manager,Compare sales performance by region,Marketing,Conversion Rate,Trend Analysis,0.74,920,4.0,Medium
INT-100981,2025-08-29 07:34:31.854099,HR,Intern,Forecast next quarter revenue,Finance,Conversion Rate,Predictive,0.67,1179,2.0,Low
INT-100982,2026-02-02 06:22:31.854100,HR,Analyst,Show monthly revenue trend,Revenue,Conversion Rate,Predictive,0.85,2429,3.0,Medium
INT-100983,2025-03-29 11:34:31.854102,Marketing,Manager,Which campaign had highest ROI?,Customer,Revenue,Descriptive,0.61,466,3.0,Low
INT-100984,2025-08-22 07:02:31.854104,Finance,Analyst,Compare sales performance by region,Finance,Revenue,Predictive,0.71,1203,3.0,nan
INT-100985,2025-03-05 20:16:31.854106,Finance,Intern,Forecast next quarter revenue,Finance,Conversion Rate,Trend Analysis,0.81,480,5.0,Medium
INT-100986,2025-05-15 18:31:31.854108,Operations,Executive,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.71,1161,,Low
INT-100987,2025-08-10 02:56:31.854110,HR,Manager,Compare sales performance by region,Finance,Churn Rate,Descriptive,0.81,1306,4.0,Medium
INT-100988,2025-10-16 09:27:31.854112,Finance,Analyst,What is customer churn rate?,Sales,Revenue,Trend Analysis,0.64,1409,,Low
INT-100989,2025-09-22 16:16:31.854114,Marketing,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.97,1571,1.0,High
INT-100990,2025-08-13 21:19:31.854116,Marketing,Intern,What is customer churn rate?,Sales,Churn Rate,Predictive,0.71,622,1.0,Medium
INT-100991,2026-01-07 13:39:31.854117,Finance,Manager,Show monthly revenue trend,Marketing,Revenue,Predictive,0.96,2205,5.0,Medium
INT-100992,2025-04-24 20:56:31.854119,HR,Executive,What is customer churn rate?,Marketing,Conversion Rate,Trend Analysis,0.73,653,5.0,High
INT-100993,2025-04-16 23:38:31.854121,Marketing,Analyst,What is customer churn rate?,Revenue,ROI,Descriptive,0.9,706,2.0,Medium
INT-100994,2026-01-03 14:29:31.854123,Operations,Manager,Forecast next quarter revenue,Finance,Conversion Rate,Trend Analysis,0.7,1365,3.0,High
INT-100995,2025-04-09 13:16:31.854125,Marketing,Executive,Show monthly revenue trend,Customer,Conversion Rate,Trend Analysis,0.86,515,5.0,Medium
INT-100996,2025-09-19 16:10:31.854127,Sales,Analyst,What is customer churn rate?,Marketing,Profit Margin,Descriptive,0.73,1899,2.0,Medium
INT-100997,2025-02-28 02:26:31.854129,Sales,Analyst,Which campaign had highest ROI?,Revenue,Profit Margin,Trend Analysis,0.8,963,3.0,Medium
INT-100998,2025-06-13 23:51:31.854130,HR,Executive,Compare sales performance by region,Customer,ROI,Trend Analysis,0.86,1455,4.0,Low
INT-100999,2025-09-03 14:37:31.854132,Finance,Executive,What is customer churn rate?,Finance,ROI,Predictive,0.83,1097,,Low
INT-101000,2025-07-05 13:41:31.854135,HR,Intern,Show monthly revenue trend,Marketing,Conversion Rate,Trend Analysis,0.82,1152,5.0,Low
INT-101001,2025-09-15 19:14:31.854138,HR,Manager,What is customer churn rate?,Revenue,Churn Rate,Predictive,0.63,1795,5.0,High
INT-101002,2025-08-28 10:14:31.854141,HR,Manager,Compare sales performance by region,Revenue,ROI,Trend Analysis,0.7,2269,3.0,High
INT-101003,2025-06-03 04:15:31.854145,HR,Intern,Show monthly revenue trend,Revenue,Conversion Rate,Predictive,0.82,583,4.0,Low
INT-101004,2025-12-30 12:05:31.854148,Operations,Analyst,Forecast next quarter revenue,Marketing,Revenue,Predictive,0.61,302,2.0,Low
INT-101005,2025-07-25 03:51:31.854151,Operations,Executive,Show monthly revenue trend,Customer,Profit Margin,Predictive,0.7,1099,,nan
INT-101006,2025-05-11 11:58:31.854154,Marketing,Executive,Forecast next quarter revenue,Revenue,Churn Rate,Descriptive,0.69,309,3.0,Low
INT-101007,2025-09-04 20:52:31.854158,Sales,Executive,Show monthly revenue trend,Finance,Conversion Rate,Trend Analysis,0.7,1695,4.0,Medium
INT-101008,2025-07-02 17:56:31.854161,HR,Analyst,Compare sales performance by region,Revenue,Revenue,Trend Analysis,0.81,869,5.0,Medium
INT-101009,2025-03-20 11:57:31.854165,Marketing,Executive,Compare sales performance by region,Customer,Profit Margin,Trend Analysis,0.83,583,1.0,High
INT-101010,2025-11-12 07:35:31.854167,Sales,Executive,Show monthly revenue trend,Marketing,Revenue,Descriptive,0.95,2220,,Low
INT-101011,2025-11-18 19:45:31.854169,Finance,Intern,What is customer churn rate?,Revenue,Conversion Rate,Predictive,0.75,2437,3.0,nan
INT-101012,2025-03-24 21:49:31.854170,Operations,Analyst,Compare sales performance by region,Revenue,ROI,Trend Analysis,0.96,961,3.0,Medium
